Age;Education;Country;Ethnicity;Gender;Neuroticism;Extraversion;Openness;Agreeableness;Conscientiousness;Impulsiveness;SensationSeeing;Cocaine
45-54;left at 17;UK;White;0;45;39;45;42;44;0.88113;0.07987;Used in last decade
18-24;left at 17;USA;White;1;47;26;46;50;36;-0.21712;1.92173;Used in last decade
18-24;left at 17;UK;White;0;27;36;51;51;40;-0.71126;-0.21575;Never used
55-64;left at 17;USA;White;0;41;37;42;32;46;-0.21712;0.07987;Used in last decade
18-24;left at 17;USA;White;0;37;42;49;35;39;1.86203;0.07987;Used in last decade
25-34;left at 18;UK;White;1;31;40;35;44;45;0.52975;1.2247;Never used
18-24;left at 18;UK;White;0;19;38;47;42;35;0.88113;0.40148;Never used
18-24;left at 18;USA;White;0;21;45;53;37;39;-0.71126;0.07987;Never used
25-34;left at 18;USA;White;0;48;31;29;36;36;1.29221;-0.21575;Used in last decade
18-24;left at 18;USA;White;1;53;33;52;44;35;-0.71126;-0.52593;Never used
18-24;left at 18;USA;White;0;49;44;44;34;29;1.29221;1.2247;Used in last year
18-24;left at 18;USA;White;1;30;44;54;48;43;0.19268;0.07987;Used in last year
18-24;left at 18;USA;White;0;38;27;49;46;31;-1.37983;-0.84637;Never used
18-24;left at 18;UK;White;0;26;51;48;48;34;0.19268;1.2247;Never used
25-34;left at 18;USA;White;0;48;22;48;41;27;0.19268;-0.52593;Used in last decade
18-24;left at 18;USA;other;0;33;26;48;39;33;0.52975;0.40148;Never used
45-54;master degree;UK;Asian;0;27;45;44;49;44;-1.37983;-1.54858;Never used
45-54;master degree;UK;White;0;39;42;43;46;35;-0.21712;-0.21575;Never used
18-24;master degree;UK;Asian;1;44;35;42;39;34;-0.71126;0.7654;Never used
45-54;master degree;USA;White;0;32;42;47;35;44;0.19268;0.40148;Used in last decade
25-34;master degree;USA;White;1;46;38;49;48;32;1.29221;0.7654;Used in last decade
18-24;master degree;other;White;1;35;46;58;41;44;-1.37983;-0.52593;Never used
55-64;master degree;USA;other;1;39;35;41;35;40;0.52975;1.92173;Never used
45-54;master degree;UK;White;1;32;34;43;35;41;1.86203;0.40148;Never used
25-34;master degree;Canada;Mixed White/Asian;1;50;33;51;43;54;-0.21712;-1.18084;Used in last Month
25-34;master degree;UK;White;1;49;42;45;43;45;-0.71126;-0.84637;Used in last year
25-34;master degree;UK;White;1;43;40;47;48;51;-1.37983;-0.52593;Never used
25-34;master degree;UK;White;1;42;40;46;48;42;-1.37983;-0.52593;Never used
25-34;master degree;UK;White;1;29;39;41;48;44;-0.21712;-0.21575;Never used
45-54;master degree;Australia;White;0;27;37;47;38;49;1.86203;0.40148;Used in last Month
55-64;profesionnel diploma;UK;White;1;36;35;38;40;39;-1.37983;-2.07848;Never used
35-44;profesionnel diploma;UK;White;0;18;43;33;38;54;-1.37983;-1.54858;Never used
35-44;profesionnel diploma;other;White;0;25;34;51;40;44;1.29221;-0.21575;Used in last decade
45-54;profesionnel diploma;UK;White;1;35;39;42;39;45;-0.71126;-0.52593;Never used
25-34;profesionnel diploma;UK;White;1;47;40;45;38;39;0.19268;-0.21575;Never used
35-44;profesionnel diploma;UK;White;0;37;38;47;42;40;-0.21712;-0.84637;Never used
35-44;profesionnel diploma;Republic of Ireland;White;1;36;43;40;38;49;0.52975;0.7654;Used in last Month
25-34;profesionnel diploma;UK;White;1;30;39;36;43;39;0.88113;-2.07848;Never used
45-54;profesionnel diploma;other;White;0;40;43;48;36;33;0.88113;0.07987;Used in last decade
45-54;profesionnel diploma;Republic of Ireland;White;0;27;48;44;39;47;-0.71126;0.07987;Never used
35-44;profesionnel diploma;UK;White;0;35;38;41;38;36;0.19268;1.2247;Used in last year
18-24;profesionnel diploma;UK;White;0;38;40;34;42;44;0.88113;0.7654;Never used
18-24;profesionnel diploma;UK;White;0;27;38;41;47;45;-0.71126;-1.54858;Never used
18-24;profesionnel diploma;other;White;0;30;40;47;41;29;0.88113;0.7654;Used in last year
45-54;profesionnel diploma;UK;White;0;51;35;52;41;28;1.29221;1.92173;Used in last decade
35-44;profesionnel diploma;USA;other;0;48;24;51;30;39;2.90161;0.7654;Used in last decade
18-24;profesionnel diploma;UK;White;0;40;48;53;43;39;0.52975;0.07987;Used in last year
55-64;profesionnel diploma;other;White;0;28;42;50;44;42;-0.21712;-0.21575;Used in last year
35-44;profesionnel diploma;Australia;White;0;24;41;56;50;44;1.29221;0.7654;Never used
35-44;profesionnel diploma;USA;White;0;53;33;47;33;32;0.88113;-0.52593;Used over a decade ago
45-54;profesionnel diploma;Republic of Ireland;White;0;31;40;44;35;48;-0.71126;0.40148;Used over a decade ago
45-54;profesionnel diploma;UK;White;1;24;38;30;53;32;-1.37983;-1.54858;Never used
25-34;profesionnel diploma;UK;White;1;24;39;38;49;43;-0.71126;-0.52593;Used in last year
45-54;profesionnel diploma;UK;White;1;21;35;34;44;53;-0.71126;0.07987;Used in last decade
35-44;profesionnel diploma;USA;White;0;41;32;43;44;33;0.88113;-0.84637;Used in last decade
25-34;profesionnel diploma;USA;White;0;35;19;54;52;45;-1.37983;-2.07848;Used in last week
55-64;profesionnel diploma;UK;White;1;40;29;33;37;39;-1.37983;-2.07848;Never used
45-54;profesionnel diploma;UK;White;1;46;42;51;53;38;0.88113;-0.84637;Never used
45-54;profesionnel diploma;UK;White;1;36;34;46;46;41;-0.71126;-0.84637;Never used
35-44;profesionnel diploma;UK;White;1;51;41;58;34;31;1.86203;1.92173;Used in last Month
35-44;profesionnel diploma;UK;White;0;42;32;40;37;45;0.19268;0.40148;Never used
25-34;profesionnel diploma;Republic of Ireland;White;0;26;43;52;46;47;-0.71126;-0.21575;Never used
35-44;university degree;UK;White;0;37;28;42;35;39;-0.21712;-2.07848;Used over a decade ago
25-34;university degree;UK;White;1;25;42;52;35;36;-0.21712;-0.21575;Never used
35-44;university degree;Australia;White;1;33;41;44;41;45;0.88113;1.2247;Never used
25-34;university degree;New Zealand;White;1;38;40;45;53;48;-1.37983;-0.21575;Never used
35-44;university degree;UK;other;1;34;36;40;35;38;-1.37983;-1.18084;Never used
25-34;university degree;Canada;Mixed White/Asian;1;27;48;46;43;45;-0.71126;-1.18084;Never used
25-34;university degree;UK;White;1;34;43;43;38;48;0.52975;-0.52593;Never used
45-54;university degree;UK;White;1;24;39;40;44;46;-1.37983;-1.54858;Never used
