Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
LEGO The Lord of the Rings;SONY;2012;Action;Warner Bros. Interactive Entertainment;0,36;0,53;0;0,21;1,1
LEGO Batman 2: DC Super Heroes;MICROSOFT;2012;Action;Warner Bros. Interactive Entertainment;0,9;0,64;0;0,15;1,68
LEGO Batman 2: DC Super Heroes;NINTENDO;2012;Action;Warner Bros. Interactive Entertainment;0,94;0,4;0;0,11;1,46
LEGO Batman 2: DC Super Heroes;SONY;2012;Action;Warner Bros. Interactive Entertainment;0,5;0,53;0;0,2;1,22
Game Party: Champions;NINTENDO;2012;Action;Warner Bros. Interactive Entertainment;0,09;0,03;0;0,01;0,14
Batman: Arkham City;NINTENDO;2012;Action;Warner Bros. Interactive Entertainment;0,17;0,18;0;0,03;0,38
The Lord of the Rings: War in the North;PC;2011;Action;Warner Bros. Interactive Entertainment;0,04;0,11;0;0,03;0,18
Green Lantern: Rise of the Manhunters;MICROSOFT;2011;Action;Warner Bros. Interactive Entertainment;0,07;0,05;0;0,01;0,13
Green Lantern: Rise of the Manhunters;NINTENDO;2011;Action;Warner Bros. Interactive Entertainment;0,06;0,04;0;0,01;0,1
Green Lantern: Rise of the Manhunters;SONY;2011;Action;Warner Bros. Interactive Entertainment;0,09;0,05;0;0,03;0,17
Batman: Arkham City;MICROSOFT;2011;Action;Warner Bros. Interactive Entertainment;2,99;1,31;0,04;0,41;4,76
Batman: Arkham City;PC;2011;Action;Warner Bros. Interactive Entertainment;0,16;0,28;0;0,09;0,53
Batman: Arkham City;SONY;2011;Action;Warner Bros. Interactive Entertainment;2,7;1,91;0,11;0,8;5,53
The Lord of the Rings: Aragorn's Quest;NINTENDO;2010;Action;Warner Bros. Interactive Entertainment;0,17;0,05;0;0,02;0,24
The Lord of the Rings: Aragorn's Quest;SONY;2010;Action;Warner Bros. Interactive Entertainment;0,03;0,02;0;0,01;0,06
The Lord of the Rings: Aragorn's Quest;SONY;2010;Action;Warner Bros. Interactive Entertainment;0,1;0,04;0;0,02;0,17
Scooby-Doo! and the Spooky Swamp;NINTENDO;2010;Action;Warner Bros. Interactive Entertainment;0,29;0,13;0;0,04;0,46
Scooby-Doo! and the Spooky Swamp;SONY;2010;Action;Warner Bros. Interactive Entertainment;0,08;0,11;0;0,08;0,27
LEGO Harry Potter: Years 1-4;MICROSOFT;2010;Action;Warner Bros. Interactive Entertainment;0,95;0,5;0;0,14;1,59
LEGO Harry Potter: Years 1-4;NINTENDO;2010;Action;Warner Bros. Interactive Entertainment;1,29;0,97;0;0,23;2,49
LEGO Harry Potter: Years 1-4;PC;2010;Action;Warner Bros. Interactive Entertainment;0,01;0,01;0;0;0,02
LEGO Harry Potter: Years 1-4;SONY;2010;Action;Warner Bros. Interactive Entertainment;0,55;0,6;0;0,22;1,37
Legend of the Guardians: The Owls of Ga'Hoole;MICROSOFT;2010;Action;Warner Bros. Interactive Entertainment;0,06;0,01;0;0,01;0,08
Legend of the Guardians: The Owls of Ga'Hoole;NINTENDO;2010;Action;Warner Bros. Interactive Entertainment;0,11;0,01;0;0,01;0,13
Legend of the Guardians: The Owls of Ga'Hoole;SONY;2010;Action;Warner Bros. Interactive Entertainment;0,06;0,01;0;0,01;0,08
Batman: The Brave and the Bold the Videogame;NINTENDO;2010;Action;Warner Bros. Interactive Entertainment;0,22;0,06;0;0,02;0,3
Watchmen: The End is Nigh Part 1 & 2;MICROSOFT;2009;Action;Warner Bros. Interactive Entertainment;0,09;0;0;0,01;0,1
Watchmen: The End is Nigh - The Complete Experience;SONY;2009;Action;Warner Bros. Interactive Entertainment;0,08;0,07;0;0,02;0,17
Scooby-Doo! First Frights;NINTENDO;2009;Action;Warner Bros. Interactive Entertainment;0,88;0,05;0;0,07;0,99
Scooby-Doo! First Frights;SONY;2009;Action;Warner Bros. Interactive Entertainment;0,14;0,03;0;0,16;0,33
LEGO Batman: The Videogame;MICROSOFT;2008;Action;Warner Bros. Interactive Entertainment;2,03;1,03;0;0,32;3,38
LEGO Batman: The Videogame;PC;2008;Action;Warner Bros. Interactive Entertainment;0,02;0,03;0;0,01;0,06
LEGO Batman: The Videogame;SONY;2008;Action;Warner Bros. Interactive Entertainment;0,72;0,03;0;0,52;1,27
LEGO Batman: The Videogame;SONY;2008;Action;Warner Bros. Interactive Entertainment;0,72;0,42;0;0,19;1,32
Guinness World Records: The Videogame;NINTENDO;2008;Action;Warner Bros. Interactive Entertainment;0,46;0,47;0;0,11;1,04
Looney Tunes: Acme Arsenal;MICROSOFT;2007;Action;Warner Bros. Interactive Entertainment;0,06;0,01;0;0,01;0,08
Looney Tunes: Acme Arsenal;NINTENDO;2007;Action;Warner Bros. Interactive Entertainment;0,21;0,01;0;0,02;0,23
Looney Tunes: Acme Arsenal;SONY;2007;Action;Warner Bros. Interactive Entertainment;0,19;0,15;0;0,05;0,38
Speed Racer: The Videogame;NINTENDO;2008;Racing;Warner Bros. Interactive Entertainment;0,36;0,02;0;0,03;0,41
Speed Racer: The Videogame;SONY;2008;Racing;Warner Bros. Interactive Entertainment;0,1;0,08;0;0,03;0,21
F.E.A.R. 3;MICROSOFT;2011;Shooter;Warner Bros. Interactive Entertainment;0,3;0,11;0,01;0,04;0,45
F.E.A.R. 3;PC;2011;Shooter;Warner Bros. Interactive Entertainment;0,04;0,08;0;0,03;0,15
F.E.A.R. 3;SONY;2011;Shooter;Warner Bros. Interactive Entertainment;0,21;0,17;0,01;0,07;0,46
Wanted: Weapons of Fate;MICROSOFT;2009;Shooter;Warner Bros. Interactive Entertainment;0,17;0,15;0;0,04;0,37
Wanted: Weapons of Fate;SONY;2009;Shooter;Warner Bros. Interactive Entertainment;0,14;0,1;0,01;0,05;0,3
Terminator Salvation;MICROSOFT;2009;Shooter;Warner Bros. Interactive Entertainment;0,13;0,18;0;0,04;0,35
Terminator Salvation;SONY;2009;Shooter;Warner Bros. Interactive Entertainment;0,13;0,29;0,01;0,11;0,54
F.E.A.R. 2: Project Origin;MICROSOFT;2009;Shooter;Warner Bros. Interactive Entertainment;0,32;0,15;0;0,05;0,53
F.E.A.R. 2: Project Origin;PC;2009;Shooter;Warner Bros. Interactive Entertainment;0,01;0,05;0;0,01;0,07
F.E.A.R. 2: Project Origin;SONY;2009;Shooter;Warner Bros. Interactive Entertainment;0,19;0,21;0,01;0,08;0,49
187: Ride or Die;MICROSOFT;2005;Racing;Ubisoft;0,05;0,01;0;0;0,06
187: Ride or Die;SONY;2005;Racing;Ubisoft;0,07;0,06;0;0,02;0,15
Academy of Champions: Soccer;NINTENDO;2009;Sports;Ubisoft;0,1;0,02;0;0,01;0,13
America's Army: Rise of a Soldier;MICROSOFT;2005;Shooter;Ubisoft;0,19;0,05;0;0,01;0,25
America's Army: True Soldiers;MICROSOFT;2007;Shooter;Ubisoft;0,08;0;0;0,01;0,08
And1 Streetball;MICROSOFT;2006;Action;Ubisoft;0,06;0,02;0;0;0,07
And1 Streetball;SONY;2006;Action;Ubisoft;0,13;0,1;0;0,03;0,27
Assassin's Creed Chronicles;MICROSOFT;2016;Action;Ubisoft;0;0,01;0;0;0,01
Assassin's Creed Chronicles;SONY;2016;Action;Ubisoft;0,01;0,05;0,01;0,01;0,08
Assassin's Creed Chronicles: China;SONY;2015;Action;Ubisoft;0;0,03;0;0,01;0,04
Assassin's Creed II;PC;2010;Action;Ubisoft;0,01;0,45;0;0,11;0,57
Assassin's Creed II;MICROSOFT;2009;Action;Ubisoft;3,1;1,56;0,08;0,51;5,27
Assassin's Creed II;SONY;2009;Action;Ubisoft;2,54;1,95;0,21;0,87;5,57
Assassin's Creed III;MICROSOFT;2012;Action;Ubisoft;3,13;1,71;0,03;0,44;5,3
Assassin's Creed III;NINTENDO;2012;Action;Ubisoft;0,19;0,13;0;0,03;0,36
Assassin's Creed III;PC;2012;Action;Ubisoft;0,28;0,53;0;0,13;0,94
Assassin's Creed III;SONY;2012;Action;Ubisoft;2,64;2,56;0,16;1,14;6,5
Assassin's Creed IV: Black Flag;MICROSOFT;2013;Action;Ubisoft;1,9;1,14;0,01;0,29;3,34
Assassin's Creed IV: Black Flag;MICROSOFT;2013;Action;Ubisoft;1,47;0,55;0;0,19;2,21
Assassin's Creed IV: Black Flag;NINTENDO;2013;Action;Ubisoft;0,18;0,09;0;0,03;0,29
Assassin's Creed IV: Black Flag;PC;2013;Action;Ubisoft;0,22;0,38;0;0,1;0,69
Assassin's Creed IV: Black Flag;SONY;2013;Action;Ubisoft;1,33;1,71;0,13;0,73;3,89
Assassin's Creed IV: Black Flag;SONY;2013;Action;Ubisoft;1,07;1,31;0,06;0,31;2,74
Assassin's Creed Syndicate;MICROSOFT;2015;Action;Ubisoft;0,61;0,56;0;0,11;1,28
Assassin's Creed Syndicate;PC;2015;Action;Ubisoft;0,1;0,08;0;0,02;0,2
Assassin's Creed Syndicate;SONY;2015;Action;Ubisoft;0,8;1,92;0,06;0,5;3,28
Assassin's Creed: Brotherhood;PC;2011;Action;Ubisoft;0,15;0,34;0;0,1;0,59
Assassin's Creed: Brotherhood;MICROSOFT;2010;Action;Ubisoft;2,84;0,39;0,03;0,24;3,5
Assassin's Creed: Brotherhood;SONY;2010;Action;Ubisoft;1,87;0,57;0,11;0,3;2,84
Assassin's Creed: Revelations;MICROSOFT;2011;Action;Ubisoft;2,25;1,47;0,04;0,43;4,19
Assassin's Creed: Revelations;PC;2011;Action;Ubisoft;0,14;0,48;0;0,14;0,76
Assassin's Creed: Revelations;SONY;2011;Action;Ubisoft;1,41;2,02;0,1;0,72;4,24
Assassin's Creed: Rogue;PC;2015;Action;Ubisoft;0,04;0,02;0;0,01;0,07
Assassin's Creed: Rogue;MICROSOFT;2014;Action;Ubisoft;0,58;0,38;0;0,09;1,05
Assassin's Creed: Rogue;SONY;2014;Action;Ubisoft;0,46;0,62;0,06;0,23;1,37
Assassin's Creed: Unity;MICROSOFT;2014;Action;Ubisoft;2,26;0,89;0;0,3;3,46
Assassin's Creed: Unity;PC;2014;Action;Ubisoft;0,17;0,33;0;0,05;0,55
Assassin's Creed: Unity;SONY;2014;Action;Ubisoft;1,18;1,96;0,08;0,7;3,92
Avatar: The Game;MICROSOFT;2009;Action;Ubisoft;0,34;0,35;0;0,08;0,78
Avatar: The Game;NINTENDO;2009;Action;Ubisoft;0,33;0,32;0;0,08;0,73
Avatar: The Game;PC;2009;Action;Ubisoft;0;0,04;0;0,01;0,05
Avatar: The Game;SONY;2009;Action;Ubisoft;0,32;0,43;0;0,16;0,91
Batman Beyond: Return of the Joker;SONY;2000;Action;Ubisoft;0,09;0,06;0;0,01;0,17
Batman: Gotham City Racer;SONY;2001;Racing;Ubisoft;0,03;0,02;0;0;0,05
Batman: Rise of Sin Tzu;MICROSOFT;2003;Action;Ubisoft;0,08;0,02;0;0;0,11
Batman: Rise of Sin Tzu;NINTENDO;2003;Action;Ubisoft;0,05;0,01;0;0;0,06
Batman: Rise of Sin Tzu;SONY;2003;Action;Ubisoft;0,17;0,13;0;0,05;0,35
Beowulf: The Game;MICROSOFT;2007;Action;Ubisoft;0,36;0,01;0;0,03;0,4
Beowulf: The Game;SONY;2007;Action;Ubisoft;0,14;0,01;0;0,01;0,16
Brothers in Arms: Double Time;NINTENDO;2008;Shooter;Ubisoft;0,11;0;0;0,01;0,13
Brothers In Arms: Earned in Blood;MICROSOFT;2005;Shooter;Ubisoft;0,23;0,07;0;0,01;0,31
Brothers In Arms: Earned in Blood;SONY;2005;Shooter;Ubisoft;0,38;0,01;0;0,06;0,46
Brothers in Arms: Furious 4;SONY;2012;Shooter;Ubisoft;0,01;0,05;0;0,02;0,08
Brothers in Arms: Hell's Highway;MICROSOFT;2008;Shooter;Ubisoft;0,47;0,31;0;0,09;0,87
Brothers in Arms: Hell's Highway;PC;2008;Shooter;Ubisoft;0;0,02;0;0;0,02
Brothers in Arms: Hell's Highway;SONY;2008;Shooter;Ubisoft;0,44;0,34;0;0,15;0,93
Brothers In Arms: Road to Hill 30;MICROSOFT;2005;Shooter;Ubisoft;0,49;0,14;0;0,02;0,66
Brothers In Arms: Road to Hill 30;SONY;2005;Shooter;Ubisoft;0,38;0,01;0;0,06;0,46
Call of Juarez;MICROSOFT;2007;Shooter;Ubisoft;0,14;0,02;0;0,01;0,19
Call of Juarez;PC;2006;Shooter;Ubisoft;0;0,01;0;0;0,01
Call of Juarez: Bound in Blood;MICROSOFT;2009;Shooter;Ubisoft;0,3;0,24;0;0,06;0,61
Call of Juarez: Bound in Blood;PC;2009;Shooter;Ubisoft;0;0,03;0;0,01;0,03
Call of Juarez: Bound in Blood;SONY;2009;Shooter;Ubisoft;0,35;0,38;0,01;0,16;0,89
Call of Juarez: The Cartel;MICROSOFT;2011;Shooter;Ubisoft;0,14;0,11;0;0,03;0,27
Call of Juarez: The Cartel;PC;2011;Shooter;Ubisoft;0,05;0,05;0;0,01;0,11
Call of Juarez: The Cartel;SONY;2011;Shooter;Ubisoft;0,12;0,13;0;0,05;0,3
Charlie's Angels;NINTENDO;2003;Action;Ubisoft;0,01;0;0;0;0,02
Child of Eden;MICROSOFT;2011;Shooter;Ubisoft;0,28;0,12;0;0,04;0,44
Child of Eden;SONY;2011;Shooter;Ubisoft;0,09;0,1;0;0,04;0,23
Child of Light;SONY;2014;Role-Playing;Ubisoft;0;0,01;0,04;0;0,05
Cold Fear;MICROSOFT;2005;Action;Ubisoft;0,05;0,01;0;0;0,06
Cold Fear;SONY;2005;Action;Ubisoft;0,06;0,04;0;0,01;0,11
Crouching Tiger, Hidden Dragon;MICROSOFT;2003;Action;Ubisoft;0,01;0;0;0;0,01
Crouching Tiger, Hidden Dragon;SONY;2003;Action;Ubisoft;0,06;0,05;0;0,02;0,13
Dark Messiah of Might and Magic Elements;MICROSOFT;2008;Role-Playing;Ubisoft;0,16;0,02;0,01;0,02;0,2
Darkwatch;MICROSOFT;2005;Shooter;Ubisoft;0,16;0,05;0;0,01;0,21
Darkwatch;SONY;2005;Shooter;Ubisoft;0,16;0,12;0;0,04;0,32
Deathrow: Underground Team Combat;MICROSOFT;2002;Sports;Ubisoft;0,05;0,01;0;0;0,06
Drakengard 2;SONY;2005;Role-Playing;Ubisoft;0,06;0,05;0;0,02;0,13
Driver: Parallel Lines;NINTENDO;2007;Racing;Ubisoft;0,01;0,01;0;0;0,03
Driver: San Francisco;MICROSOFT;2011;Racing;Ubisoft;0,25;0,39;0;0,08;0,72
Driver: San Francisco;NINTENDO;2011;Racing;Ubisoft;0,06;0,09;0;0,02;0,18
Driver: San Francisco;PC;2011;Racing;Ubisoft;0,05;0,1;0;0,03;0,18
Driver: San Francisco;SONY;2011;Racing;Ubisoft;0,24;0,54;0,01;0,18;0,98
Dynasty Warriors 7: Empires;SONY;2012;Action;Ubisoft;0;0;0,14;0;0,14
Emergency Heroes;NINTENDO;2008;Racing;Ubisoft;0,15;0,27;0;0,06;0,48
Enchanted Arms;SONY;2007;Role-Playing;Ubisoft;0,17;0,01;0;0,02;0,2
Enchanted Arms;MICROSOFT;2006;Role-Playing;Ubisoft;0,16;0,02;0;0,02;0,19
Enchanted Arms (JP sales);SONY;2007;Role-Playing;Ubisoft;0;0;0,04;0;0,04
Enchanted Arms (JP sales);MICROSOFT;2006;Role-Playing;Ubisoft;0;0;0,02;0;0,02
ESPN: Sports Connection;NINTENDO;2012;Sports;Ubisoft;0,21;0,12;0;0,04;0,37
Eternal Ring;SONY;2000;Role-Playing;Ubisoft;0,1;0,07;0,1;0,03;0,3
EverGrace;SONY;2000;Role-Playing;Ubisoft;0,1;0,08;0,15;0,03;0,35
Evolution Worlds;NINTENDO;2002;Role-Playing;Ubisoft;0,06;0,02;0;0;0,08
Fallout Trilogy;PC;2004;Role-Playing;Ubisoft;0;0,02;0;0;0,02
Family Fest presents: Movie Games;NINTENDO;2008;Action;Ubisoft;0,2;0,01;0;0,02;0,23
Far Cry;PC;2004;Shooter;Ubisoft;0;0,04;0;0,01;0,05
Far Cry 2;MICROSOFT;2008;Action;Ubisoft;0,71;0,69;0,02;0,18;1,6
Far Cry 2;PC;2008;Action;Ubisoft;0,01;0,45;0;0,03;0,49
Far Cry 2;SONY;2008;Action;Ubisoft;0,43;0,7;0,01;0,27;1,4
Far Cry 3;MICROSOFT;2012;Shooter;Ubisoft;1,38;1,35;0,02;0,28;3,04
Far Cry 3;PC;2012;Shooter;Ubisoft;0,21;0,62;0;0,14;0,98
Far Cry 3;SONY;2012;Shooter;Ubisoft;0,88;1,75;0,1;0,72;3,45
Far Cry 4;MICROSOFT;2014;Shooter;Ubisoft;0,45;0,44;0;0,08;0,98
Far Cry 4;MICROSOFT;2014;Shooter;Ubisoft;0,79;0,68;0,01;0,13;1,61
Far Cry 4;PC;2014;Shooter;Ubisoft;0,15;0,42;0;0,05;0,62
Far Cry 4;SONY;2014;Shooter;Ubisoft;0,33;0,79;0,08;0,23;1,44
Far Cry 4;SONY;2014;Shooter;Ubisoft;1,12;2,12;0,1;0,69;4,03
Far Cry Instincts;MICROSOFT;2005;Shooter;Ubisoft;0,32;0,24;0;0,02;0,57
Far Cry Instincts Evolution;MICROSOFT;2006;Shooter;Ubisoft;0,06;0,02;0;0;0,08
Far Cry Instincts Predator;MICROSOFT;2006;Shooter;Ubisoft;0,2;0,03;0;0,02;0,25
Far Cry Vengeance;NINTENDO;2006;Shooter;Ubisoft;0,06;0,01;0;0,01;0,08
Far Cry: Primal;MICROSOFT;2016;Action;Ubisoft;0,46;0,32;0;0,07;0,85
Far Cry: Primal;PC;2016;Action;Ubisoft;0,04;0,09;0;0,01;0,14
Far Cry: Primal;SONY;2016;Action;Ubisoft;0,59;1,16;0,06;0,33;2,13
Fatal Frame II: Crimson Butterfly;SONY;2003;Action;Ubisoft;0,08;0,06;0;0,02;0,16
Fist of the North Star: Ken's Rage;MICROSOFT;2010;Action;Ubisoft;0,07;0,02;0,06;0,01;0,16
Fist of the North Star: Ken's Rage;SONY;2010;Action;Ubisoft;0,06;0,03;0,55;0,02;0,66
Fit in Six;NINTENDO;2011;Sports;Ubisoft;0,11;0;0;0,01;0,12
